"a", "indefinite article", "A1"
"about", "adverb", "A1"
"about", "preposition", "A1"
"above", "adverb", "A1"
"above", "preposition", "A1"
"across", "adverb", "A1"
"across", "preposition", "A1"
"action", "noun", "A1"
"activity", "noun", "A1"
"actor", "noun", "A1"
"actress", "noun", "A1"
"add", "verb", "A1"
"address", "noun", "A1"
"adult", "noun", "A1"
"advice", "noun", "A1"
"afraid", "adjective", "A1"
"after", "preposition", "A1"
"afternoon", "noun", "A1"
"again", "adverb", "A1"
"age", "noun", "A1"
"ago", "adverb", "A1"
"agree", "verb", "A1"
"air", "noun", "A1"
"airport", "noun", "A1"
"all", "determiner", "A1"
"all", "pronoun", "A1"
"also", "adverb", "A1"
"always", "adverb", "A1"
"amazing", "adjective", "A1"
"and", "conjunction", "A1"
"angry", "adjective", "A1"
"animal", "noun", "A1"
"another", "determiner", "A1"
"another", "pronoun", "A1"
"answer", "noun", "A1"
"answer", "verb", "A1"
"any", "determiner", "A1"
"any", "pronoun", "A1"
"anyone", "pronoun", "A1"
"anything", "pronoun", "A1"
"apartment", "noun", "A1"
"apple", "noun", "A1"
"April", "noun", "A1"
"area", "noun", "A1"
"arm", "noun", "A1"
"around", "adverb", "A1"
"around", "preposition", "A1"
"arrive", "verb", "A1"
"art", "noun", "A1"
"article", "noun", "A1"
"artist", "noun", "A1"
"as", "preposition", "A1"
"ask", "verb", "A1"
"at", "preposition", "A1"
"August", "noun", "A1"
"aunt", "noun", "A1"
"autumn", "noun", "A1"
"away", "adverb", "A1"
"baby", "noun", "A1"
"back", "adverb", "A1"
"back", "noun", "A1"
"bad", "adjective", "A1"
"bag", "noun", "A1"
"ball", "noun", "A1"
"banana", "noun", "A1"
"band", "noun", "A1"
"bank", "noun", "A1"
"bath", "noun", "A1"
"bathroom", "noun", "A1"
"be", "verb", "A1"
"be auxiliary", "verb", "A1"
"beach", "noun", "A1"
"beautiful", "adjective", "A1"
"because", "conjunction", "A1"
"become", "verb", "A1"
"bed", "noun", "A1"
"bedroom", "noun", "A1"
"beer", "noun", "A1"
"before", "preposition", "A1"
"begin", "verb", "A1"
"beginning", "noun", "A1"
"behind", "adverb", "A1"
"behind", "preposition", "A1"
"believe", "verb", "A1"
"below", "adverb", "A1"
"below", "preposition", "A1"
"best", "adjective", "A1"
"better", "adjective", "A1"
"between", "preposition", "A1"
"bicycle", "noun", "A1"
"big", "adjective", "A1"
"bike", "noun", "A1"
"bill", "noun", "A1"
"bird", "noun", "A1"
"birthday", "noun", "A1"
"black", "adjective", "A1"
"black", "noun", "A1"
